"folio","agu_bloq","ag_super","vo_super","vendsupr","ve_sup_e","ag_subte","vo_subte","vendsubt","ve_sub_e"
"7043","2","0","NA","0","","0","NA","0",""
"7044","2","0","NA","0","","0","NA","0",""
"7045","2","0","NA","0","","0","NA","0",""
"7046","2","0","NA","0","","0","NA","0",""
"7047","2","0","NA","0","","0","NA","0",""
"7048","2","0","NA","0","","0","NA","0",""
"7049","2","0","NA","0","","0","NA","0",""
"7050","2","0","NA","0","","0","NA","0",""
"7051","2","0","NA","0","","0","NA","0",""
"7052","2","0","NA","0","","0","NA","0",""
"7053","2","0","NA","0","","0","NA","0",""
"7054","2","0","NA","0","","0","NA","0",""
"7055","2","0","NA","0","","0","NA","0",""
"7056","2","0","NA","0","","0","NA","0",""
"7057","2","0","NA","0","","0","NA","0",""
"7058","2","0","NA","0","","0","NA","0",""
"7059","2","0","NA","0","","2","NA","0",""
"7060","2","0","NA","0","","0","NA","0",""
"7061","2","0","NA","0","","0","NA","0",""
"7062","2","0","NA","0","","0","NA","0",""
"7063","2","0","NA","0","","0","NA","0",""
"7064","2","0","NA","0","","0","NA","0",""
"7065","2","0","NA","0","","0","NA","0",""
"7066","2","0","NA","0","","0","NA","0",""
"7067","2","0","NA","0","","0","NA","0",""
"7068","2","0","NA","0","","0","NA","0",""
"7069","2","0","NA","0","","0","NA","0",""
"7070","2","0","NA","0","","0","NA","0",""
"7071","2","0","NA","0","","0","NA","0",""
"7072","2","0","NA","0","","0","NA","0",""
"7073","2","0","NA","0","","0","NA","0",""
"7074","2","0","NA","0","","0","NA","0",""
"7075","2","0","NA","0","","0","NA","0",""
"7076","2","0","NA","0","","0","NA","0",""
"7077","2","0","NA","0","","0","NA","0",""
"7078","2","0","NA","0","","0","NA","0",""
"7079","2","0","NA","0","","0","NA","0",""
"7080","2","0","NA","0","","0","NA","0",""
"7081","2","0","NA","0","","0","NA","0",""
"7082","2","0","NA","0","","0","NA","0",""
"7083","2","0","NA","0","","0","NA","0",""
"7084","2","0","NA","0","","0","NA","0",""
"7085","2","0","NA","0","","0","NA","0",""
"7086","2","0","NA","0","","0","NA","0",""
"7087","2","0","NA","0","","0","NA","0",""
"7088","2","0","NA","0","","0","NA","0",""
"7089","2","0","NA","0","","0","NA","0",""
"7090","2","0","NA","0","","0","NA","0",""
"7091","2","0","NA","0","","0","NA","0",""
"7092","2","0","NA","0","","0","NA","0",""
"7093","2","0","NA","0","","0","NA","0",""
"7094","2","0","NA","0","","0","NA","0",""
"7096","2","0","NA","0","","0","NA","0",""
"7097","2","0","NA","0","","0","NA","0",""
"7098","2","0","NA","0","","0","NA","0",""
"7099","2","0","NA","0","","0","NA","0",""
"7100","2","0","NA","0","","0","NA","0",""
"7101","2","0","NA","0","","0","NA","0",""
"7102","2","0","NA","0","","0","NA","0",""
"7103","2","0","NA","0","","0","NA","0",""
"7104","2","0","NA","0","","0","NA","0",""
"7105","2","0","NA","0","","0","NA","0",""
"7106","2","0","NA","0","","2","NA","0",""
"7107","2","0","NA","0","","0","NA","0",""
"7108","2","0","NA","0","","0","NA","0",""
"7109","2","0","NA","0","","0","NA","0",""
"7110","2","0","NA","0","","0","NA","0",""
"7111","2","0","NA","0","","0","NA","0",""
"7112","2","0","NA","0","","0","NA","0",""
"7113","2","0","NA","0","","0","NA","0",""
"7114","2","0","NA","0","","0","NA","0",""
"7115","2","0","NA","0","","0","NA","0",""
"7116","2","0","NA","0","","0","NA","0",""
"7117","2","0","NA","0","","0","NA","0",""
"7118","2","0","NA","0","","0","NA","0",""
"7119","2","0","NA","0","","0","NA","0",""
"7120","2","0","NA","0","","0","NA","0",""
"7121","2","0","NA","0","","0","NA","0",""
"7122","2","0","NA","0","","0","NA","0",""
"7123","2","0","NA","0","","0","NA","0",""
"7124","2","0","NA","0","","0","NA","0",""
"7125","0","0","NA","0","","0","NA","0",""
"8001","2","0","NA","0","","0","NA","0",""
"8002","2","0","NA","0","","0","NA","0",""
"8003","2","0","NA","0","","0","NA","0",""
"8004","2","0","NA","0","","0","NA","0",""
"8005","2","0","NA","0","","0","NA","0",""
"8006","2","0","NA","0","","0","NA","0",""
"8007","2","0","NA","0","","2","NA","0",""
"8008","2","0","NA","0","","0","NA","0",""
"8009","2","0","NA","0","","0","NA","0",""
"8010","2","0","NA","0","","0","NA","0",""
"8011","2","0","NA","0","","0","NA","0",""
"8012","2","0","NA","0","","0","NA","0",""
"8013","2","0","NA","0","","0","NA","0",""
"8014","2","0","NA","0","","0","NA","0",""
"8015","2","0","NA","0","","0","NA","0",""
"8016","2","0","NA","0","","0","NA","0",""
"8017","2","0","NA","0","","0","NA","0",""
"8018","2","0","NA","0","","0","NA","0",""
"8019","2","0","NA","0","","0","NA","0",""
"8020","2","0","NA","0","","0","NA","0",""
"8021","1","2","NA","0","","1","19476581","1",""
"8022","2","0","NA","0","","0","NA","0",""
"8023","2","0","NA","0","","0","NA","0",""
"8024","2","0","NA","0","","0","NA","0",""
"8025","2","0","NA","0","","0","NA","0",""
"8026","2","0","NA","0","","0","NA","0",""
"8027","2","0","NA","0","","0","NA","0",""
"8028","2","0","NA","0","","0","NA","0",""
"8029","2","0","NA","0","","0","NA","0",""
"8030","2","0","NA","0","","0","NA","0",""
"8031","2","0","NA","0","","0","NA","0",""
"8032","2","0","NA","0","","0","NA","0",""
"8033","2","0","NA","0","","0","NA","0",""
"8034","2","0","NA","0","","0","NA","0",""
"8035","2","0","NA","0","","0","NA","0",""
"8036","2","0","NA","0","","0","NA","0",""
"8037","2","0","NA","0","","0","NA","0",""
"8038","2","0","NA","0","","0","NA","0",""
"8039","2","0","NA","0","","0","NA","0",""
"8040","2","0","NA","0","","0","NA","0",""
"8041","2","0","NA","0","","0","NA","0",""
"8042","2","0","NA","0","","0","NA","0",""
"8043","2","0","NA","0","","0","NA","0",""
"8044","2","0","NA","0","","0","NA","0",""
"8045","2","0","NA","0","","0","NA","0",""
"8046","2","0","NA","0","","0","NA","0",""
"8047","2","0","NA","0","","0","NA","0",""
"8048","2","0","NA","0","","0","NA","0",""
"8049","2","0","NA","0","","0","NA","0",""
"8050","2","0","NA","0","","0","NA","0",""
"8051","2","0","NA","0","","0","NA","0",""
"8052","2","0","NA","0","","0","NA","0",""
"8053","2","0","NA","0","","0","NA","0",""
"8054","2","0","NA","0","","0","NA","0",""
"8055","2","0","NA","0","","0","NA","0",""
"8056","2","0","NA","0","","0","NA","0",""
