"folio","dif_inf","dif_url","portinte","edo_fina","pre_serv","pln_prog","in_efi","re_hid","di_tari","ben_subs","obr_proc","di_otro","d_otr_es","sif_opn","opn_impl","opn_bita","opn_moni","opn_apcu","opn_entr","opn_apen","opn_otrm","opin_esp","rep_quej","fuga_pro","atn_most","carc_liq","opn_otro","es_ot_as"
"1001","1",".VEOLIA.COM.MX/AGS/    -    HTTPS://WWW.FACEBOOK.COM/CCAPAMA","1","","1","1","","","","1","1","","","1","1","1","1","1","","","","","","1","1","","",""
"1002","2","","0","","","","","","","","","","","1","1","","","","","","","","1","1","1","","",""
"1003","1","","1","1","","","","","1","1","","","","1","1","1","","","","","1","Linea telefónica de whatsapp las 24 horas del día","1","1","1","","",""
"1004","0","","0","","","","","","","","","","","1","","1","1","","1","1","","","1","1","","1","",""
"1005","1","HTTPS://WWW.INSTAGRAM.COM/CAPASMOVIL/   HTTPS://TWITTER.COM/CAPAS_MOVIL     HTTPS://WWW.FACEBOOK.COM/CAPASMOVIL/      HTTPS://PLAY.GOOGLE.COM/STORE/APPS/DETAILS?ID=ESUSMARIA.MOVIL&HL=ES_MX&GL=US","1","","","1","","","1","","1","","","1","1","","1","1","1","","","","1","1","1","1","",""
"1006","1","","1","","","","","","","","1","","","1","1","","1","","1","","","","1","1","1","","",""
"1007","1","","1","","1","","","","1","","1","","","2","","","","","","","","","","","","","",""
"1008","2","","0","","","","","","","","","","","2","","","","","","","","","","","","","",""
"1009","2","","0","","","","","","","","","","","2","","","","","","","","","","","","","",""
"1010","2","","0","","","","","","","","","","","2","","","","","","","","","","","","","",""
"1011","2","","0","","","","","","","","","","","2","","","","","","","","","","","","","",""
"2001","1","CESPE.GOB.MX","1","1","1","","1","","1","1","1","","","1","1","1","","","","","1","PAGINA DE FACEBOOK; MICROSITIO DE LA CONTRALORÍA SOCIAL","1","1","1","","",""
"2002","1","http://www.cespm.gob.mx/","1","1","1","1","1","1","1","1","1","","","1","1","1","1","1","","1","","","1","1","1","1","",""
"2003","1","CESPTE.GOB.MX","1","1","1","1","1","1","1","1","1","","","1","1","1","1","","","1","","","1","1","1","1","",""
"2004","1","HTTPS://WWW.CESPT.GOB.MX/","1","1","1","","","","1","","1","","","1","1","","1","","1","","","","1","","1","","",""
"2005","1","HTTPS://WWW.CESPT.GOB.MX/","1","1","1","","","","1","","1","","","1","1","","1","","1","","","","1","","1","","",""
"2006","1","","1","","","1","","","","1","1","","","1","1","1","1","","1","","","","1","1","1","1","",""
"3001","1","OOSAPASCOMONDU.GOB.MX","1","1","1","","","","1","","1","","","2","","","","","","","","","","","","","",""
"3002","1","OOMSAPASDEMULEGE.ORG","1","1","1","1","","","1","","1","","MISION, VISION, TRANSPARENCIA DEL ORGANISMO","1","1","","1","","","","","","1","1","","","",""
"3003","1","SAPA.LAPAZ.GOB.MX","1","","1","1","","","","","1","","","1","","1","1","","","","","","1","1","","","",""
"3008","1","AGUAPOTABLEDELOSCABOS.GOB.MX","1","1","","1","1","","1","","1","","TRANSPARENCIA","1","","1","1","","","","","","1","1","1","","",""
"3009","1","HTTP://OOMSAPALORETO.GOB.MX/1/NOSOTROS","1","1","1","","","1","","","1","","TRANSPARENCIA","2","","","","","","","","","","","","","",""
"4001","2","","0","","","","","","","","","","","2","","","","","","","","","","","","","",""
"4002","1","SMAPACAMPECHE.GOB.MX","1","1","","1","","","1","","1","","","2","","","","","","","","","","","","","",""
"4003","2","","0","","","","","","","","","","","2","","","","","","","","","","","","","",""
"4004","1","HTTPS://WWW.FACEBOOK.COM/VENTANILLA.AGUAPOTABLE.1","2","","","","","","1","1","","","","1","","","","","","1","","","1","1","","","",""
"4005","2","","0","","","","","","","","","","","2","","","","","","","","","","","","","",""
"4006","2","","0","","","","","","","","","","","1","1","","","","","","","","1","1","","","",""
"4007","0","","0","","","","","","","","","","","2","","","","","","","","","","","","","",""
"4008","2","","0","","","","","","","","","","","2","","","","","","","","","","","","","",""
"4009","1","HTTPS://WWW.ESCARCEGA.GOB.MX/TRANSPARENCIA_SMAPAE_74.PHP","2","1","","","","","","","","","","1","1","","","","","","","","1","","1","","",""
"4010","2","","0","","","","","","","","","","","2","","","","","","","","","","","","","",""
"4011","1","CANDELARIA.GOB .MX Y SMAP@CANDELARIA.GOB.MX","1","","1","","","","","","1","","","1","1","1","1","1","","","","","1","1","1","","",""
"4012","0","","0","","","","","","","","","","","0","","","","","","","","","","","","","",""
"5001","2","","0","","","","","","","","","","","2","","","","","","","","","","","","","",""
"5002","1","SIMAS.ORG","1","1","1","1","1","1","1","1","","","","2","","","","","","","","","","","","","",""
"5003","2","","0","","","","","","","","","","","1","","1","","","","","","","1","1","1","","",""
"5004","2","","0","","","","","","","","","","","2","","","","","","","","","","","","","",""
"5005","2","","0","","","","","","","","","","","2","","","","","","","","","","","","","",""
"5006","1","","2","","","1","","","","","","","","2","","","","","","","","","","","","","",""
"5007","1","ICAI","2","1","1","1","1","1","1","1","1","","","2","","","","","","","","","","","","","",""
"5008","2","","0","","","","","","","","","","","2","","","","","","","","","","","","","",""
"5009","2","","0","","","","","","","","","","","1","1","","","","","","","","1","1","1","","",""
"5010","1","SIMASMYF.GOB.MX","1","1","1","1","1","","1","1","1","","","1","1","1","","","","","1","","1","1","","1","",""
"5011","2","","0","","","","","","","","","","","2","","","","","","","","","","","","","",""
"5012","2","","0","","","","","","","","","","","2","","","","","","","","","","","","","",""
"5013","1","JAFRAUSTO@HOTMAIL.COM","1","","1","","","1","","","","","","1","","","","","","","1","","1","1","","","",""
"5014","2","","0","","","","","","","","","","","2","","","","","","","","","","","","","",""
"5015","2","","0","","","","","","","","","","","1","1","","","","","","","","1","","","","",""
"5016","2","","0","","","","","","","","","","","2","","","","","","","","","","","","","",""
"5017","1","SIMASMAT.COM","1","1","1","1","1","1","1","1","","","","1","1","","1","","","","","","1","1","1","","",""
"5018","1","SIMASMYF.GOB.MX","1","1","1","1","1","","1","1","1","","","1","1","1","","","","","1","","1","1","","1","",""
"5019","2","","0","","","","","","","","","","","2","","","","","","","","","","","","","",""
"5020","2","","0","","","","","","","","","","","2","","","","","","","","","","","","","",""
"5021","2","","0","","","","","","","","","","","2","","","","","","","","","","","","","",""
"5022","1","FACEBOOK/PRESIDENCIA MUNICIPAL DE NAVACOAHUILA","2","","1","","","","","","1","","","1","","","","","1","1","","","","1","","1","",""
"5023","2","","0","","","","","","","","","","","1","","","","","","1","","","1","1","","","",""
"5024","2","","0","","","","","","","","","","","2","","","","","","","","","","","","","",""
"5025","1","HTTPS://WWW.SIMASPIEDRASNEGRAS.GOB.MX/","1","1","","1","1","","1","","1","","","2","","","","","","","","","","","","","",""
